Z,mass,electronegativity,row,group,mendeleev_no,atomic_radii,0_subshell_energy,0_subshell_occupancy,1_subshell_energy,1_subshell_occupancy,2_subshell_energy,2_subshell_occupancy,character_d,character_f,character_p,character_s,0_subshell_symmetry_d,0_subshell_symmetry_p,0_subshell_symmetry_s,1_subshell_symmetry_d,1_subshell_symmetry_e,1_subshell_symmetry_f,1_subshell_symmetry_p,1_subshell_symmetry_s,2_subshell_symmetry_d,2_subshell_symmetry_e,2_subshell_symmetry_f,2_subshell_symmetry_p,2_subshell_symmetry_s,element
52,127.6,2.1,5,16,92.0,1.4,-0.22659400000000002,0.6666666666666666,-0.520997,1.0,-1.6083809999999998,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Te
53,126.90446999999999,2.66,5,17,97.0,1.4,-0.267904,0.8333333333333334,-0.5963390000000001,1.0,-1.938179,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,I
54,131.293,2.6,5,18,5.0,,-0.30983499999999997,1.0,-0.672086,1.0,-2.286666,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Xe
55,132.9054519,0.79,6,1,8.0,2.6,-0.078699,0.5,-0.504903,1.0,-0.915819,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Cs
56,137.327,0.89,6,2,14.0,2.15,-0.118967,1.0,-0.698605,1.0,-1.157159,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Ba
57,138.90547,1.1,8,3,33.0,1.95,-0.132233,1.0,-0.141085,0.1,-0.824498,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,La
58,140.116,1.12,8,4,32.0,1.85,-0.133974,1.0,-0.14055,0.1,-0.337442,0.07142857142857142,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Ce
59,140.90765,1.13,8,5,31.0,1.85,-0.124465,1.0,-0.155138,0.21428571428571427,-0.778046,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Pr
60,144.24200000000002,1.14,8,6,30.0,1.85,-0.125796,1.0,-0.179508,0.2857142857142857,-0.798503,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Nd
61,145.0,1.13,8,7,29.0,1.85,-0.127053,1.0,-0.200159,0.35714285714285715,-0.817702,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Pm
62,150.36,1.17,8,8,28.0,1.85,-0.12825899999999998,1.0,-0.21775999999999998,0.42857142857142855,-0.835987,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Sm
